headline,source
Senior Hamas leader killed in Beirut was a key figure who patched up ties with Iran,NBC
QAnon follower who led the mob that chased Police Officer Eugene Goodman on Jan. 6 sentenced to 5 years in prison,NBC
"Russia aims to undermine Biden in November election, intel officials say",NBC
DeSantis signs bill creating election police unit in Florida,NBC
"The best disposable face masks and how to shop for them, according to doctors",NBC
Jan. 6 committee avoids criticizing law enforcement in report summary,NBC
Pro-China influence campaign pushed talking points across more than 50 websites,NBC
Historic North Carolina village underwater after devastating damage from Helene,NBC
Iranian President Raisi is killed in helicopter crash,NBC
Abortion rights amendments qualify for the ballot in Colorado and South Dakota,NBC
Poll: Half of voters plan to cast their ballots early — with a stark partisan divide,NBC
"Trump is not immune in 2020 election interference case, appeals court rules",NBC
"Zelenskyy calls for international support, Harris underscores unity with Ukraine",NBC
Putin warns he could provide weapons to attack the West and issues new nuclear threat,NBC
Israel’s outgoing army chief rebukes Netanyahu's far-right government,NBC
"Looking for leads, not love: Job seekers in China turn Tinder into a networking tool",NBC
"California man accused of drugging, sexually assaulting nine women is charged with murder",NBC
Hard-liner Raisi's 'engineered' Iran election win entrenches conservative rule,NBC
Harris points to California experience and criticizes Trump when asked how she would differ from Biden on border policy,NBC
"No new talks over U.S. soldier detained in North Korea, U.S. officials say",NBC
Ex-cop who stormed the Capitol on Jan. 6 sentenced to record-tying 7 years in prison,NBC
Kanye West implies he plans to vote for Donald Trump in 2020,NBC
"19 best workout leggings, tested by experts and editors",NBC
Congress passes bill to boost presidential candidate security after apparent attempt on Trump's life,NBC
FBI failures before the Capitol siege avoided the Jan. 6 committee's scorn. Not for long.,NBC
The U.S. could see a new 'extreme heat belt' by 2053,NBC
Trump rallies in the South Bronx as he seeks to win over Black and Hispanic voters,NBC
GOP-led House committees release lengthy report alleging President Biden committed impeachable offenses,NBC
Trump comes out against Florida's abortion rights ballot measure after conservative backlash,NBC
"Wisconsin voters face long waits, lines amid coronavirus outbreak",NBC
Police deny Venezuela gang has taken over rundown apartment complex in Denver suburb,NBC
"Harris-Trump debate nabs more than 67 million viewers, Nielsen says",NBC
South Korean prime minister offers to resign after parliamentary election defeat,NBC
"How to drive safely with a dog: Shop crash-tested harnesses, crates and more",NBC
Indian election: Prime Minister Modi's BJP seeks supporters in the U.S.,NBC
Israel says ground operation at its 'most intense day',NBC
Pro-Palestinian protests inflame tensions in Washington over the Israel-Hamas war,NBC
Israel vows tough measures to 'strengthen' settlements following deadly attacks,NBC
Floods in Romania kill at least four people as rain batters central Europe,NBC
Palestinian civilians trapped in Gaza amid intensifying Israeli bombing,NBC
Asian woman punched 125 times in New York attack; suspect charged with attempted murder as hate crime,NBC
"The best reusable water bottles of 2026: Stanley, Owala and more",NBC
"Trump slams Harris' call for a price-gouging ban, but 37 states already have their own",NBC
Democrats to dub Trump a 'chicken' to pressure him to debate Harris,NBC
"Democrats maintain control of Senate, NBC News projects, defeating many Trump-backed Republicans",NBC
Why Sunbasket is one of the best meal delivery services for gluten-free eaters,NBC
"Echoing DeSantis, Florida's new surgeon general argues against Covid vaccines, mandates",NBC
Trump goes after Haley in New Hampshire ad; Biden reschedules Jan. 6 speech: Highlights,NBC
"The best tools for baking cookies, as recommended by professional bakers",NBC
ACLU sues Biden administration over new asylum rule,NBC
Democrats ramp up efforts to turn out Puerto Rican voters in Pennsylvania,NBC
At least 90 killed in Israeli military operation targeting two Hamas officials,NBC
Trump calls people charged and convicted for Jan. 6 riots 'hostages',NBC
Hamas leader Ismail Haniyeh says 3 of his sons were killed in an Israeli airstrike in Gaza,NBC
Trump says the death of Hamas leader Yahya Sinwar makes a peace deal ‘easier’,NBC
WWII bomb revealed in drought-hit waters of Italy’s River Po,NBC
Death of Russian oil exec highlights suspicious ends met by those who crossed the Kremlin,NBC
"Joe Biden lands 200 judges, highlighting stakes for the courts in the 2024 election",NBC
Four Mark Robinson staffers step down from embattled campaign,NBC
Tens of thousands protest Netanyahu's contentious plan to overhaul Israel's judicial system,NBC
Oath Keepers founder sentenced to 18 years in Jan. 6 seditious conspiracy case,NBC
"Capitol Police Officer Brian Sicknick died of natural causes after riot, medical examiner says",NBC
"CEOs of TikTok, Meta, Snap and X to testify at Senate online child safety hearing. Here's what to know.",NBC
"'She was a big kid': Son of Hyun Jung Grant, killed in Atlanta shootings, recalls last moment they spent together",NBC
How Ukraine's Volodymyr Zelenskyy became a global phenomenon,NBC
Jan. 6 rioter who charged police while carrying a gun sentenced to 7 years,NBC
Trump gets hit from all sides for testing a softer abortion message 'in order to win',NBC
Qatar re-evaluating its role as mediator in Gaza cease-fire talks,NBC
"Biden says the election will be 'free and fair,' but 'I don't know whether it will be peaceful'",NBC
Michelle Obama's office says the former first lady 'will not be running for president' in 2024,NBC
The $360 Midea U window air conditioner is expensive but worth every cent,NBC
Democrats were once afraid of the A-word. Now they're running on it.,NBC
Sinwar's killing is a win for Israel — but many Palestinians are proud of his defiant last stand,NBC
"Wigs, robotic guns and exploding pagers: Israel has a long history of hunting down its enemies",NBC
"Draft opinion indicates Supreme Court will overturn Roe v. Wade, Politico reports in extraordinary leak",NBC
Victims of Hamas attack in Israel and their families blame Iran in new federal lawsuit,NBC
'White dudes' rally to elect Kamala Harris as the first female president,NBC
Election 2024: Trump campaigns in Pennsylvania ahead of Biden's U.N. speech,NBC
"U.S. sending powerful defense system to Israel, deepening its involvement in the conflict",NBC
NOAA issues highest-ever early forecast for the coming hurricane season,NBC
'Psych' star Dulé Hill on Hollywood diversity and the legacy of 'The West Wing',NBC
New York City has the worst air quality in the world as smoke from Canadian wildfires rolls in,NBC
Charges in Beverly Hills attack on Jewish couple could amount to life in prison,NBC
Putin praises Kim Jong Un's support for Ukraine war as he heads to North Korea,NBC
Why my iPhone-and-wallet combo case is a smart buy,NBC
Capitol Police Officer Eugene Goodman offers new Jan. 6 details at trial of QAnon believer,NBC
Wave of protests in Iran reflects seething anger over how its regime treats women,NBC
"House votes to condemn Biden, Harris and others over 2021 Afghanistan withdrawal",NBC
Abortion groups aim to challenge Florida’s bans on the ballot in 2024,NBC
Trump calls judge overseeing his Jan. 6 case 'the most evil person',NBC
Sinwar’s death offers an opening to end the war in Gaza – and a test for Netanyahu,NBC
The fight for the future of Israel's political system isn't over. Here’s what to know.,NBC
Chinese adoptees say they feel conflicted after China announces end to international adoptions,NBC
Andy Beshear draws rebuke from Vance over abortion comments,NBC
"Iran targeting U.S. state voter rolls and spreading election propaganda, officials say",NBC
Trump rally shooter identified as 20-year-old Pennsylvania man,NBC
Hamas says it has taken ‘dozens’ of Israelis hostage,NBC
Republicans' anti-Trump effort flounders as the former president cruises ahead,NBC
"A new book has amplified fierce debate around teens, mental health and smartphones",NBC
Judge rules against RFK Jr.'s bid to appear on New York ballot this fall,NBC
The Moccamaster is a drip coffee lover’s aesthetic dream,NBC
Brazil's Christ the Redeemer welcomes Taylor Swift with a special projection,NBC
"Beijing sizzles at 106 degrees, hottest June day recorded in China's capital",NBC
2024 GOP candidates forced to grapple with a 6-week abortion ban to win Iowa,NBC
Do Stanley cups contain lead or pose a risk of lead poisoning? Experts weigh in,NBC
Netanyahu era ends in Israel as new government survives key parliament vote,NBC
The 19 gifts book lovers will absolutely love,NBC
11 best skin care products for sensitive skin,NBC
"Armed North Carolina man arrested on suspicion of making threats against FEMA workers, authorities say",NBC
It’s official: These are the 39 best Advent calendars of 2025’s holiday season,NBC
Garmin Forerunner 165 review: A running watch with great battery life and detailed data,NBC
What JD Vance has said about the war in Ukraine,NBC
Nobel peace laureate known as 'banker to the poor' faces jail in Bangladesh,NBC
Biden gives historic interview to LGBTQ newspaper,NBC
Biden in Germany speaks of hope of a cease-fire in Gaza after Sinwar death,NBC
Deal for release of hostages held by Hamas may be taking shape,NBC
New Jan. 6 footage appears to show rioter firing a gun in the air during Capitol attack,NBC
How votes get counted and reported on election night — and how NBC News gathers and checks the data,NBC
"1 year after Atlanta-area spa shootings, Asian American community is still healing",NBC
Israeli Prime Minister Netanyahu hospitalized,NBC
"A group of Palestinian men waving a white flag is shot at, killing 1",NBC
Trump launches group to build Black support at Detroit church event,NBC
Trump once called Jan. 6 a 'heinous attack.' Now he calls it a 'day of love.',NBC
Democrat Josh Shapiro defeats Republican Doug Mastriano in Pennsylvania governor's race,NBC
New Orleans braces for drinking water emergency from drought-stricken Mississippi River,NBC
Ex-NYPD officer who assaulted D.C. officer on Jan. 6 gets record 10-year sentence,NBC
Harris says it is part of the American tradition for VPs not to criticize the president,NBC
The best Turkish beach towels to keep you dry all summer long,NBC
Federal judge appoints special master to review documents seized at Mar-a-Lago,NBC
Biden signs executive action drastically tightening border,NBC
"U.S., U.K. among 9 countries pausing funding to UNRWA amid allegations 12 employees were part of Oct. 7 attack",NBC
"Our favorite alpha hydroxy acid (AHA) products – plus, how to properly use them",NBC
Select Pet Awards 2023: The best food and accessories for dogs and cats,NBC
Here’s why any Israeli attempt to rescue the 150 hostages in Gaza will be ‘brutal’ and painful,NBC
Texas husband held on $1M bond in wife's strangulation death that was first reported as suicide,NBC
How much water do you really need to drink?,NBC
Transgender models featured in Victoria’s Secret Fashion Show,NBC
DOJ charges two brothers in Jan. 6 assault on a New York Times photographer,NBC
Election 2024: Harris and Trump campaign in Pennsylvania; Walz stumps in Wisconsin,NBC
23+ gifts that show teachers how much you appreciate them,NBC
Kremlin denies it was behind the plane crash believed to have killed Yevgeny Prigozhin,NBC
Trump describes in detail being shot by a would-be assassin,NBC
"A timeline of Trump's many, many positions on abortion",NBC
"How to heal dry, chapped lips, according to dermatologists",NBC
The best Valentine’s Day flowers and plants on sale right now,NBC
"How to clean a reusable water bottle, according to experts",NBC
NewJeans says they’re more than solely K-pop stars as they break global barriers,NBC
6 key takeaways from the first Harris-Trump presidential debate,NBC
Outspoken critic of Palestinian Authority Nizar Banat dies after violent arrest,NBC
"Iran vows retaliation on Israel after commanders' deaths, raising fears of war spiraling",NBC
Trump turns political event into surreal listening party,NBC
Florida Supreme Court hears arguments over an abortion rights ballot measure,NBC
Tested and reviewed: the 9 best prepared meal delivery services of 2026,NBC
Israeli military recovers the bodies of 3 more hostages killed on Oct. 7 from Gaza,NBC
"Alleged 'Baby Reindeer' inspiration sues Netflix, claiming defamation",NBC
Congress to get beefed-up security for electoral vote certification on Jan. 6,NBC
"The best shampoos for dry hair, according to experts",NBC
Federal judge sets March trial date in Trump's election interference case,NBC
Trump calls GOP candidate with a history of offensive remarks 'Martin Luther King on steroids',NBC
Walmart is hosting its first Holiday Deals event — and these are all the details,NBC
Opioid overdose antidote Narcan will be widely available over the counter next week,NBC
Supreme Court stays out of fight over transgender student bathroom access,NBC
Benjamin Netanyahu says he will meet with Florida Gov. Ron DeSantis in Israel,NBC
Bangladesh restores internet as students call off job-quota protests,NBC
9 best gluten-free meal delivery services to try in 2026,NBC
"Man with gun, knife arrested near Justice Kavanaugh's house",NBC
"Iranian President Ebrahim Raisi, known for brutal crackdowns against political opposition, dies at 63",NBC
Pelosi appoints Republican Rep. Kinzinger to Jan. 6 committee,NBC
The Vitruvi Stone Diffuser helps me fall asleep faster — and it's on sale now,NBC
Israel says troops searched a Gaza cemetery for dead hostages,NBC
"Stellantis to sell, shutter large testing facility amid cost-cutting efforts",NBC
"15 best shampoos for damaged hair, according to hairstylists",NBC
Flat irons shouldn't fry your hair — here are the best ones for avoiding heat damage,NBC
"2024 Olympics: Simone Biles takes gold in vault, Sha'Carri Richardson gets silver in 100-meter",NBC
"Fearing a Trump takeover, Justice Department alumni endorse Kamala Harris",NBC
Arizona Senate Primary Results 2024,NBC
